% Moku:Go Spectrum Analyzer
% Input A
% Start freq 1 Hz, stop freq 30.000 000 MHz, RBW 146.6 kHz (Auto mode), Blackman-Harris window, Video filter off
% Averaging: 32 spectra per frame, 25 frame averages
% Acquired 2024-11-07 T 15:14:36 +0530
% Frequency (Hz), Input A (dBm)
-2.929684706032e+04, -3.024477e+01
1.220731064677e+03, -3.039388e+01
3.173830918968e+04, -3.029954e+01
6.225588731468e+04, -3.022914e+01
9.277346543968e+04, -3.035580e+01
1.232910435647e+05, -3.051329e+01
1.538086216897e+05, -3.058868e+01
1.843261998147e+05, -3.061319e+01
2.148437779397e+05, -3.063592e+01
2.453613560647e+05, -3.066618e+01
2.758789341897e+05, -3.073405e+01
3.063965123147e+05, -3.079970e+01
3.369140904397e+05, -3.084219e+01
3.674316685647e+05, -3.086357e+01
3.979492466897e+05, -3.084277e+01
4.284668248147e+05, -3.080005e+01
4.589844029397e+05, -3.072163e+01
4.895019810647e+05, -3.064677e+01
5.200195591897e+05, -3.061495e+01
5.505371373147e+05, -3.062415e+01
5.810547154397e+05, -3.065539e+01
6.115722935647e+05, -3.069303e+01
6.420898716897e+05, -3.071243e+01
6.726074498147e+05, -3.076840e+01
7.031250279397e+05, -3.084244e+01
7.336426060647e+05, -3.085909e+01
7.641601841897e+05, -3.087194e+01
7.946777623147e+05, -3.091783e+01
8.251953404397e+05, -3.101628e+01
8.557129185647e+05, -3.110934e+01
8.862304966897e+05, -3.114066e+01
9.167480748147e+05, -3.112996e+01
9.472656529397e+05, -3.109772e+01
9.777832310647e+05, -3.105186e+01
1.008300809190e+06, -3.098168e+01
1.038818387315e+06, -3.086179e+01
1.069335965440e+06, -3.070015e+01
1.099853543565e+06, -3.052062e+01
1.130371121690e+06, -3.041437e+01
1.160888699815e+06, -3.041373e+01
1.191406277940e+06, -3.049289e+01
1.221923856065e+06, -3.061522e+01
1.252441434190e+06, -3.073561e+01
1.282959012315e+06, -3.079252e+01
1.313476590440e+06, -3.081037e+01
1.343994168565e+06, -3.082388e+01
1.374511746690e+06, -3.082993e+01
1.405029324815e+06, -3.080465e+01
1.435546902940e+06, -3.078674e+01
1.466064481065e+06, -3.081705e+01
1.496582059190e+06, -3.086160e+01
1.527099637315e+06, -3.090038e+01
1.557617215440e+06, -3.096853e+01
1.588134793565e+06, -3.100843e+01
1.618652371690e+06, -3.105425e+01
1.649169949815e+06, -3.113813e+01
1.679687527940e+06, -3.121373e+01
1.710205106065e+06, -3.123134e+01
1.740722684190e+06, -3.117397e+01
1.771240262315e+06, -3.106952e+01
1.801757840440e+06, -3.100942e+01
1.832275418565e+06, -3.098379e+01
1.862792996690e+06, -3.097459e+01
1.893310574815e+06, -3.097022e+01
1.923828152940e+06, -3.099186e+01
1.954345731065e+06, -3.099819e+01
1.984863309190e+06, -3.096886e+01
2.015380887315e+06, -3.094500e+01
2.045898465440e+06, -3.095235e+01
2.076416043565e+06, -3.095986e+01
2.106933621690e+06, -3.100376e+01
2.137451199815e+06, -3.110790e+01
2.167968777940e+06, -3.115786e+01
2.198486356065e+06, -3.116221e+01
2.229003934190e+06, -3.116716e+01
2.259521512315e+06, -3.117365e+01
2.290039090440e+06, -3.116794e+01
2.320556668565e+06, -3.112296e+01
2.351074246690e+06, -3.105124e+01
2.381591824815e+06, -3.099127e+01
2.412109402940e+06, -3.090794e+01
2.442626981065e+06, -3.080669e+01
2.473144559190e+06, -3.071264e+01
2.503662137315e+06, -3.066965e+01
2.534179715440e+06, -3.070060e+01
2.564697293565e+06, -3.079902e+01
2.595214871690e+06, -3.090175e+01
2.625732449815e+06, -3.095396e+01
2.656250027940e+06, -3.101200e+01
2.686767606065e+06, -3.103218e+01
2.717285184190e+06, -3.093163e+01
2.747802762315e+06, -3.081913e+01
2.778320340440e+06, -3.079146e+01
2.808837918565e+06, -3.083729e+01
2.839355496690e+06, -3.090190e+01
2.869873074815e+06, -3.098927e+01
2.900390652940e+06, -3.108654e+01
2.930908231065e+06, -3.112905e+01
2.961425809190e+06, -3.112322e+01
2.991943387315e+06, -3.111192e+01
3.022460965440e+06, -3.113080e+01
3.052978543565e+06, -3.119915e+01
3.083496121690e+06, -3.122594e+01
3.114013699815e+06, -3.118459e+01
3.144531277940e+06, -3.107266e+01
3.175048856065e+06, -3.098162e+01
3.205566434190e+06, -3.095171e+01
3.236084012315e+06, -3.096540e+01
3.266601590440e+06, -3.097296e+01
3.297119168565e+06, -3.101413e+01
3.327636746690e+06, -3.111458e+01
3.358154324815e+06, -3.124271e+01
3.388671902940e+06, -3.129525e+01
3.419189481065e+06, -3.133532e+01
3.449707059190e+06, -3.139254e+01
3.480224637315e+06, -3.143844e+01
3.510742215440e+06, -3.149502e+01
3.541259793565e+06, -3.149580e+01
3.571777371690e+06, -3.141229e+01
3.602294949815e+06, -3.130517e+01
3.632812527940e+06, -3.117519e+01
3.663330106065e+06, -3.104684e+01
3.693847684190e+06, -3.100330e+01
3.724365262315e+06, -3.104868e+01
3.754882840440e+06, -3.111559e+01
3.785400418565e+06, -3.121616e+01
3.815917996690e+06, -3.133742e+01
3.846435574815e+06, -3.139532e+01
3.876953152940e+06, -3.138272e+01
3.907470731065e+06, -3.131691e+01
3.937988309190e+06, -3.126078e+01
3.968505887315e+06, -3.123615e+01
3.999023465440e+06, -3.125097e+01
4.029541043565e+06, -3.132222e+01
4.060058621690e+06, -3.145273e+01
4.090576199815e+06, -3.161392e+01
4.121093777940e+06, -3.174040e+01
4.151611356065e+06, -3.181848e+01
4.182128934190e+06, -3.184543e+01
4.212646512315e+06, -3.182805e+01
4.243164090440e+06, -3.175214e+01
4.273681668565e+06, -3.169541e+01
4.304199246690e+06, -3.167335e+01
4.334716824815e+06, -3.167016e+01
4.365234402940e+06, -3.161190e+01
4.395751981065e+06, -3.152856e+01
4.426269559190e+06, -3.143245e+01
4.456787137315e+06, -3.136384e+01
4.487304715440e+06, -3.139880e+01
4.517822293565e+06, -3.151704e+01
4.548339871690e+06, -3.155200e+01
4.578857449815e+06, -3.146305e+01
4.609375027940e+06, -3.134908e+01
4.639892606065e+06, -3.124926e+01
4.670410184190e+06, -3.118538e+01
4.700927762315e+06, -3.120372e+01
4.731445340440e+06, -3.123083e+01
4.761962918565e+06, -3.121515e+01
4.792480496690e+06, -3.121442e+01
4.822998074815e+06, -3.125985e+01
4.853515652940e+06, -3.136659e+01
4.884033231065e+06, -3.148275e+01
4.914550809190e+06, -3.153938e+01
4.945068387315e+06, -3.156808e+01
4.975585965440e+06, -3.159666e+01
5.006103543565e+06, -3.160372e+01
5.036621121690e+06, -3.159209e+01
5.067138699815e+06, -3.163198e+01
5.097656277940e+06, -3.169273e+01
5.128173856065e+06, -3.175753e+01
5.158691434190e+06, -3.179217e+01
5.189209012315e+06, -3.181134e+01
5.219726590440e+06, -3.184840e+01
5.250244168565e+06, -3.187438e+01
5.280761746690e+06, -3.190653e+01
5.311279324815e+06, -3.191627e+01
5.341796902940e+06, -3.187627e+01
5.372314481065e+06, -3.182157e+01
5.402832059190e+06, -3.177852e+01
5.433349637315e+06, -3.174766e+01
5.463867215440e+06, -3.177340e+01
5.494384793565e+06, -3.181240e+01
5.524902371690e+06, -3.185235e+01
5.555419949815e+06, -3.187873e+01
5.585937527940e+06, -3.193563e+01
5.616455106065e+06, -3.204504e+01
5.646972684190e+06, -3.211101e+01
5.677490262315e+06, -3.211162e+01
