% Moku:Go Spectrum Analyzer
% Input A
% Start freq 1 Hz, stop freq 30.000 000 MHz, RBW 146.6 kHz (Auto mode), Blackman-Harris window, Video filter off
% Averaging: 32 spectra per frame, 25 frame averages
% Acquired 2024-11-07 T 15:13:44 +0530
% Frequency (Hz), Input A (dBm)
-2.929684706032e+04, -3.255521e+01
1.220731064677e+03, -3.192659e+01
3.173830918968e+04, -3.218328e+01
6.225588731468e+04, -3.334417e+01
9.277346543968e+04, -3.541672e+01
1.232910435647e+05, -3.828749e+01
1.538086216897e+05, -4.138736e+01
1.843261998147e+05, -4.335689e+01
2.148437779397e+05, -4.351656e+01
2.453613560647e+05, -4.295384e+01
2.758789341897e+05, -4.258468e+01
3.063965123147e+05, -4.264004e+01
3.369140904397e+05, -4.314676e+01
3.674316685647e+05, -4.398230e+01
3.979492466897e+05, -4.485866e+01
4.284668248147e+05, -4.535540e+01
4.589844029397e+05, -4.516873e+01
4.895019810647e+05, -4.444346e+01
5.200195591897e+05, -4.365272e+01
5.505371373147e+05, -4.311365e+01
5.810547154397e+05, -4.296538e+01
6.115722935647e+05, -4.323120e+01
6.420898716897e+05, -4.389663e+01
6.726074498147e+05, -4.478620e+01
7.031250279397e+05, -4.554686e+01
7.336426060647e+05, -4.582109e+01
7.641601841897e+05, -4.548831e+01
7.946777623147e+05, -4.476430e+01
8.251953404397e+05, -4.405620e+01
8.557129185647e+05, -4.364350e+01
8.862304966897e+05, -4.363336e+01
9.167480748147e+05, -4.399734e+01
9.472656529397e+05, -4.461497e+01
9.777832310647e+05, -4.529343e+01
1.008300809190e+06, -4.578231e+01
1.038818387315e+06, -4.587502e+01
1.069335965440e+06, -4.555458e+01
1.099853543565e+06, -4.498472e+01
1.130371121690e+06, -4.446349e+01
1.160888699815e+06, -4.417098e+01
1.191406277940e+06, -4.414030e+01
1.221923856065e+06, -4.435773e+01
1.252441434190e+06, -4.480490e+01
1.282959012315e+06, -4.531309e+01
1.313476590440e+06, -4.563321e+01
1.343994168565e+06, -4.556299e+01
1.374511746690e+06, -4.517547e+01
1.405029324815e+06, -4.470920e+01
1.435546902940e+06, -4.436148e+01
1.466064481065e+06, -4.423895e+01
1.496582059190e+06, -4.434440e+01
1.527099637315e+06, -4.466091e+01
1.557617215440e+06, -4.508032e+01
1.588134793565e+06, -4.549386e+01
1.618652371690e+06, -4.574749e+01
1.649169949815e+06, -4.562726e+01
1.679687527940e+06, -4.523833e+01
1.710205106065e+06, -4.478014e+01
1.740722684190e+06, -4.441760e+01
1.771240262315e+06, -4.426863e+01
1.801757840440e+06, -4.435637e+01
1.832275418565e+06, -4.463556e+01
1.862792996690e+06, -4.497885e+01
1.893310574815e+06, -4.532908e+01
1.923828152940e+06, -4.560686e+01
1.954345731065e+06, -4.571341e+01
1.984863309190e+06, -4.557693e+01
2.015380887315e+06, -4.529599e+01
2.045898465440e+06, -4.503138e+01
2.076416043565e+06, -4.488126e+01
2.106933621690e+06, -4.492685e+01
2.137451199815e+06, -4.516000e+01
2.167968777940e+06, -4.541154e+01
