% Moku:Go Spectrum Analyzer
% Input A
% Start freq 1 Hz, stop freq 30.000 000 MHz, RBW 146.6 kHz (Auto mode), Blackman-Harris window, Video filter off
% Averaging: 32 spectra per frame, 25 frame averages
% Acquired 2024-11-07 T 15:14:08 +0530
% Frequency (Hz), Input A (dBm)
-2.929684706032e+04, -3.184068e+01
1.220731064677e+03, -3.119525e+01
3.173830918968e+04, -3.145854e+01
6.225588731468e+04, -3.264632e+01
9.277346543968e+04, -3.476591e+01
1.232910435647e+05, -3.770239e+01
1.538086216897e+05, -4.093743e+01
1.843261998147e+05, -4.307693e+01
2.148437779397e+05, -4.320591e+01
2.453613560647e+05, -4.256600e+01
2.758789341897e+05, -4.215007e+01
3.063965123147e+05, -4.222493e+01
3.369140904397e+05, -4.279995e+01
3.674316685647e+05, -4.377147e+01
3.979492466897e+05, -4.487103e+01
4.284668248147e+05, -4.561441e+01
4.589844029397e+05, -4.554039e+01
4.895019810647e+05, -4.476834e+01
5.200195591897e+05, -4.388865e+01
5.505371373147e+05, -4.327098e+01
5.810547154397e+05, -4.304767e+01
6.115722935647e+05, -4.321802e+01
6.420898716897e+05, -4.375893e+01
6.726074498147e+05, -4.453421e+01
7.031250279397e+05, -4.527757e+01
7.336426060647e+05, -4.563116e+01
7.641601841897e+05, -4.539132e+01
7.946777623147e+05, -4.478580e+01
8.251953404397e+05, -4.419399e+01
8.557129185647e+05, -4.382519e+01
8.862304966897e+05, -4.377470e+01
9.167480748147e+05, -4.401298e+01
9.472656529397e+05, -4.449977e+01
9.777832310647e+05, -4.509577e+01
1.008300809190e+06, -4.558277e+01
1.038818387315e+06, -4.571974e+01
1.069335965440e+06, -4.538779e+01
1.099853543565e+06, -4.483459e+01
1.130371121690e+06, -4.436893e+01
1.160888699815e+06, -4.414926e+01
1.191406277940e+06, -4.419238e+01
1.221923856065e+06, -4.448803e+01
1.252441434190e+06, -4.495227e+01
1.282959012315e+06, -4.542707e+01
1.313476590440e+06, -4.568727e+01
1.343994168565e+06, -4.559009e+01
1.374511746690e+06, -4.521490e+01
1.405029324815e+06, -4.473266e+01
1.435546902940e+06, -4.434085e+01
1.466064481065e+06, -4.419717e+01
1.496582059190e+06, -4.433870e+01
1.527099637315e+06, -4.474115e+01
1.557617215440e+06, -4.528178e+01
1.588134793565e+06, -4.574460e+01
1.618652371690e+06, -4.599581e+01
1.649169949815e+06, -4.592512e+01
1.679687527940e+06, -4.555976e+01
1.710205106065e+06, -4.512225e+01
1.740722684190e+06, -4.476761e+01
1.771240262315e+06, -4.459870e+01
1.801757840440e+06, -4.465674e+01
1.832275418565e+06, -4.488939e+01
1.862792996690e+06, -4.521453e+01
1.893310574815e+06, -4.552889e+01
1.923828152940e+06, -4.570907e+01
1.954345731065e+06, -4.567301e+01
1.984863309190e+06, -4.543987e+01
2.015380887315e+06, -4.508533e+01
2.045898465440e+06, -4.479658e+01
2.076416043565e+06, -4.466648e+01
2.106933621690e+06, -4.470410e+01
2.137451199815e+06, -4.490740e+01
2.167968777940e+06, -4.519665e+01
